Character,Byte
 ,20
!,21
"""",22
#,23
$,24
%,25
&,26
',27
(,28
),29
*,2a
+,2b
",",2c
-,2d
.,2e
/,2f
0,30
1,31
2,32
3,33
4,34
5,35
6,36
7,37
8,38
9,39
:,3a
;,3b
<,3c
=,3d
>,3e
?,3f
@,40
A,41
B,42
C,43
D,44
E,45
F,46
G,47
H,48
I,49
J,4a
K,4b
L,4c
M,4d
N,4e
O,4f
P,50
Q,51
R,52
S,53
T,54
U,55
V,56
W,57
X,58
Y,59
Z,5a
[,5b
\,5c
],5d
^,5e
_,5f
`,60
a,61
b,62
c,63
d,64
e,65
f,66
g,67
h,68
i,69
j,6a
k,6b
l,6c
m,6d
n,6e
o,6f
p,70
q,71
r,72
s,73
t,74
u,75
v,76
w,77
x,78
y,79
z,7a
{,7b
|,7c
},7d
~,7e
,7f
€,c280
,c281
‚,c282
ƒ,c283
„,c284
…,c285
†,c286
‡,c287
ˆ,c288
‰,c289
Š,c28a
‹,c28b
Œ,c28c
,c28d
Ž,c28e
,c28f
,c290
‘,c291
’,c292
“,c293
”,c294
•,c295
–,c296
—,c297
˜,c298
™,c299
š,c29a
›,c29b
œ,c29c
,c29d
ž,c29e
Ÿ,c29f
,c2a0
¡,c2a1
¢,c2a2
£,c2a3
¤,c2a4
¥,c2a5
¦,c2a6
§,c2a7
¨,c2a8
©,c2a9
ª,c2aa
«,c2ab
¬,c2ac
­,c2ad
®,c2ae
¯,c2af
°,c2b0
±,c2b1
²,c2b2
³,c2b3
´,c2b4
µ,c2b5
¶,c2b6
·,c2b7
¸,c2b8
¹,c2b9
º,c2ba
»,c2bb
¼,c2bc
½,c2bd
¾,c2be
¿,c2bf
À,c380
Á,c381
Â,c382
Ã,c383
Ä,c384
Å,c385
Æ,c386
Ç,c387
È,c388
É,c389
Ê,c38a
Ë,c38b
Ì,c38c
Í,c38d
Î,c38e
Ï,c38f
Ð,c390
Ñ,c391
Ò,c392
Ó,c393
Ô,c394
Õ,c395
Ö,c396
×,c397
Ø,c398
Ù,c399
Ú,c39a
Û,c39b
Ü,c39c
Ý,c39d
Þ,c39e
ß,c39f
à,c3a0
á,c3a1
â,c3a2
ã,c3a3
ä,c3a4
å,c3a5
æ,c3a6
ç,c3a7
è,c3a8
é,c3a9
ê,c3aa
ë,c3ab
ì,c3ac
í,c3ad
î,c3ae
ï,c3af
ð,c3b0
ñ,c3b1
ò,c3b2
ó,c3b3
ô,c3b4
õ,c3b5
ö,c3b6
÷,c3b7
ø,c3b8
ù,c3b9
ú,c3ba
û,c3bb
ü,c3bc
ý,c3bd
þ,c3be
ÿ,c3bf
Ā,c480
ā,c481
Ă,c482
ă,c483
Ą,c484
ą,c485
Ć,c486
ć,c487
Ĉ,c488
ĉ,c489
Ċ,c48a
ċ,c48b
Č,c48c
č,c48d
Ď,c48e
ď,c48f
Đ,c490
đ,c491
Ē,c492
ē,c493
Ĕ,c494
ĕ,c495
Ė,c496
ė,c497
Ę,c498
ę,c499
Ě,c49a
ě,c49b
Ĝ,c49c
ĝ,c49d
Ğ,c49e
ğ,c49f
Ġ,c4a0
ġ,c4a1
Ģ,c4a2
ģ,c4a3
Ĥ,c4a4
ĥ,c4a5
Ħ,c4a6
ħ,c4a7
Ĩ,c4a8
ĩ,c4a9
Ī,c4aa
ī,c4ab
Ĭ,c4ac
ĭ,c4ad
Į,c4ae
į,c4af
İ,c4b0
ı,c4b1
Ĳ,c4b2
ĳ,c4b3
Ĵ,c4b4
ĵ,c4b5
Ķ,c4b6
ķ,c4b7
ĸ,c4b8
Ĺ,c4b9
ĺ,c4ba
Ļ,c4bb
ļ,c4bc
Ľ,c4bd
ľ,c4be
Ŀ,c4bf
ŀ,c580
Ł,c581
ł,c582
Ń,c583
ń,c584
Ņ,c585
ņ,c586
Ň,c587
ň,c588
ŉ,c589
Ŋ,c58a
ŋ,c58b
Ō,c58c
ō,c58d
Ŏ,c58e
ŏ,c58f
Ő,c590
ő,c591
Œ,c592
œ,c593
Ŕ,c594
ŕ,c595
Ŗ,c596
ŗ,c597
Ř,c598
ř,c599
Ś,c59a
ś,c59b
Ŝ,c59c
ŝ,c59d
Ş,c59e
ş,c59f
Š,c5a0
š,c5a1
Ţ,c5a2
ţ,c5a3
Ť,c5a4
ť,c5a5
Ŧ,c5a6
ŧ,c5a7
Ũ,c5a8
ũ,c5a9
Ū,c5aa
ū,c5ab
Ŭ,c5ac
ŭ,c5ad
Ů,c5ae
ů,c5af
Ű,c5b0
ű,c5b1
Ų,c5b2
ų,c5b3
Ŵ,c5b4
ŵ,c5b5
Ŷ,c5b6
ŷ,c5b7
Ÿ,c5b8
Ź,c5b9
ź,c5ba
Ż,c5bb
ż,c5bc
Ž,c5bd
ž,c5be
ſ,c5bf
ƀ,c680
Ɓ,c681
Ƃ,c682
ƃ,c683
Ƅ,c684
ƅ,c685
Ɔ,c686
Ƈ,c687
ƈ,c688
Ɖ,c689
Ɗ,c68a
Ƌ,c68b
ƌ,c68c
ƍ,c68d
Ǝ,c68e
Ə,c68f
Ɛ,c690
Ƒ,c691
ƒ,c692
Ɠ,c693
Ɣ,c694
ƕ,c695
Ɩ,c696
Ɨ,c697
Ƙ,c698
ƙ,c699
ƚ,c69a
ƛ,c69b
Ɯ,c69c
Ɲ,c69d
ƞ,c69e
Ɵ,c69f
Ơ,c6a0
ơ,c6a1
Ƣ,c6a2
ƣ,c6a3
Ƥ,c6a4
ƥ,c6a5
Ʀ,c6a6
Ƨ,c6a7
ƨ,c6a8
Ʃ,c6a9
ƪ,c6aa
ƫ,c6ab
Ƭ,c6ac
ƭ,c6ad
Ʈ,c6ae
Ư,c6af
ư,c6b0
Ʊ,c6b1
Ʋ,c6b2
Ƴ,c6b3
ƴ,c6b4
Ƶ,c6b5
ƶ,c6b6
Ʒ,c6b7
Ƹ,c6b8
ƹ,c6b9
ƺ,c6ba
ƻ,c6bb
Ƽ,c6bc
ƽ,c6bd
ƾ,c6be
ƿ,c6bf
ǀ,c780
ǁ,c781
ǂ,c782
ǃ,c783
Ǆ,c784
ǅ,c785
ǆ,c786
Ǉ,c787
ǈ,c788
ǉ,c789
Ǌ,c78a
ǋ,c78b
ǌ,c78c
Ǎ,c78d
ǎ,c78e
Ǐ,c78f
ǐ,c790
Ǒ,c791
ǒ,c792
Ǔ,c793
ǔ,c794
Ǖ,c795
ǖ,c796
Ǘ,c797
ǘ,c798
Ǚ,c799
ǚ,c79a
Ǜ,c79b
ǜ,c79c
ǝ,c79d
Ǟ,c79e
ǟ,c79f
Ǡ,c7a0
ǡ,c7a1
Ǣ,c7a2
ǣ,c7a3
Ǥ,c7a4
ǥ,c7a5
Ǧ,c7a6
ǧ,c7a7
Ǩ,c7a8
ǩ,c7a9
Ǫ,c7aa
ǫ,c7ab
Ǭ,c7ac
ǭ,c7ad
Ǯ,c7ae
ǯ,c7af
ǰ,c7b0
Ǳ,c7b1
ǲ,c7b2
ǳ,c7b3
Ǵ,c7b4
ǵ,c7b5
Ƕ,c7b6
Ƿ,c7b7
Ǹ,c7b8
ǹ,c7b9
Ǻ,c7ba
ǻ,c7bb
Ǽ,c7bc
ǽ,c7bd
Ǿ,c7be
ǿ,c7bf
Ȁ,c880
ȁ,c881
Ȃ,c882
ȃ,c883
Ȅ,c884
ȅ,c885
Ȇ,c886
ȇ,c887
Ȉ,c888
ȉ,c889
Ȋ,c88a
ȋ,c88b
Ȍ,c88c
ȍ,c88d
Ȏ,c88e
ȏ,c88f
Ȑ,c890
ȑ,c891
Ȓ,c892
ȓ,c893
Ȕ,c894
ȕ,c895
Ȗ,c896
ȗ,c897
Ș,c898
ș,c899
Ț,c89a
ț,c89b
Ȝ,c89c
ȝ,c89d
Ȟ,c89e
ȟ,c89f
Ƞ,c8a0
ȡ,c8a1
Ȣ,c8a2
ȣ,c8a3
Ȥ,c8a4
ȥ,c8a5
Ȧ,c8a6
ȧ,c8a7
Ȩ,c8a8
ȩ,c8a9
Ȫ,c8aa
ȫ,c8ab
Ȭ,c8ac
ȭ,c8ad
Ȯ,c8ae
ȯ,c8af
Ȱ,c8b0
ȱ,c8b1
Ȳ,c8b2
ȳ,c8b3
ȴ,c8b4
ȵ,c8b5
ȶ,c8b6
ȷ,c8b7
ȸ,c8b8
ȹ,c8b9
Ⱥ,c8ba
Ȼ,c8bb
ȼ,c8bc
Ƚ,c8bd
Ⱦ,c8be
ȿ,c8bf
ɀ,c980
Ɂ,c981
ɂ,c982
Ƀ,c983
Ʉ,c984
Ʌ,c985
Ɇ,c986
ɇ,c987
Ɉ,c988
ɉ,c989
Ɋ,c98a
ɋ,c98b
Ɍ,c98c
ɍ,c98d
Ɏ,c98e
ɏ,c98f
ɐ,c990
ɑ,c991
ɒ,c992
ɓ,c993
ɔ,c994
ɕ,c995
ɖ,c996
ɗ,c997
ɘ,c998
ə,c999
ɚ,c99a
ɛ,c99b
ɜ,c99c
ɝ,c99d
ɞ,c99e
ɟ,c99f
ɠ,c9a0
ɡ,c9a1
ɢ,c9a2
ɣ,c9a3
ɤ,c9a4
ɥ,c9a5
ɦ,c9a6
ɧ,c9a7
ɨ,c9a8
ɩ,c9a9
ɪ,c9aa
ɫ,c9ab
ɬ,c9ac
ɭ,c9ad
ɮ,c9ae
ɯ,c9af
ɰ,c9b0
ɱ,c9b1
ɲ,c9b2
ɳ,c9b3
ɴ,c9b4
ɵ,c9b5
ɶ,c9b6
ɷ,c9b7
ɸ,c9b8
ɹ,c9b9
ɺ,c9ba
ɻ,c9bb
ɼ,c9bc
ɽ,c9bd
ɾ,c9be
ɿ,c9bf
ʀ,ca80
ʁ,ca81
ʂ,ca82
ʃ,ca83
ʄ,ca84
ʅ,ca85
ʆ,ca86
ʇ,ca87
ʈ,ca88
ʉ,ca89
ʊ,ca8a
ʋ,ca8b
ʌ,ca8c
ʍ,ca8d
ʎ,ca8e
ʏ,ca8f
ʐ,ca90
ʑ,ca91
ʒ,ca92
ʓ,ca93
ʔ,ca94
ʕ,ca95
ʖ,ca96
ʗ,ca97
ʘ,ca98
ʙ,ca99
ʚ,ca9a
ʛ,ca9b
ʜ,ca9c
ʝ,ca9d
ʞ,ca9e
ʟ,ca9f
ʠ,caa0
ʡ,caa1
ʢ,caa2
ʣ,caa3
ʤ,caa4
ʥ,caa5
ʦ,caa6
ʧ,caa7
ʨ,caa8
ʩ,caa9
ʪ,caaa
ʫ,caab
ʬ,caac
ʭ,caad
ʮ,caae
ʯ,caaf
ʰ,cab0
ʱ,cab1
ʲ,cab2
ʳ,cab3
ʴ,cab4
ʵ,cab5
ʶ,cab6
ʷ,cab7
ʸ,cab8
ʹ,cab9
ʺ,caba
ʻ,cabb
ʼ,cabc
ʽ,cabd
ʾ,cabe
ʿ,cabf
ˀ,cb80
ˁ,cb81
˂,cb82
˃,cb83
˄,cb84
˅,cb85
ˆ,cb86
ˇ,cb87
ˈ,cb88
ˉ,cb89
ˊ,cb8a
ˋ,cb8b
ˌ,cb8c
ˍ,cb8d
ˎ,cb8e
ˏ,cb8f
ː,cb90
ˑ,cb91
˒,cb92
˓,cb93
˔,cb94
˕,cb95
˖,cb96
˗,cb97
˘,cb98
˙,cb99
˚,cb9a
˛,cb9b
˜,cb9c
˝,cb9d
˞,cb9e
˟,cb9f
ˠ,cba0
ˡ,cba1
ˢ,cba2
ˣ,cba3
ˤ,cba4
˥,cba5
˦,cba6
˧,cba7
˨,cba8
˩,cba9
˪,cbaa
˫,cbab
ˬ,cbac
˭,cbad
ˮ,cbae
˯,cbaf
˰,cbb0
˱,cbb1
˲,cbb2
˳,cbb3
˴,cbb4
˵,cbb5
˶,cbb6
˷,cbb7
˸,cbb8
˹,cbb9
˺,cbba
˻,cbbb
˼,cbbc
˽,cbbd
˾,cbbe
˿,cbbf
̀,cc80
́,cc81
̂,cc82
̃,cc83
̄,cc84
̅,cc85
̆,cc86
̇,cc87
̈,cc88
̉,cc89
̊,cc8a
̋,cc8b
̌,cc8c
̍,cc8d
̎,cc8e
̏,cc8f
̐,cc90
̑,cc91
̒,cc92
̓,cc93
̔,cc94
̕,cc95
̖,cc96
̗,cc97
̘,cc98
̙,cc99
̚,cc9a
̛,cc9b
̜,cc9c
̝,cc9d
̞,cc9e
̟,cc9f
̠,cca0
̡,cca1
̢,cca2
̣,cca3
̤,cca4
̥,cca5
̦,cca6
̧,cca7
̨,cca8
̩,cca9
̪,ccaa
̫,ccab
̬,ccac
̭,ccad
̮,ccae
̯,ccaf
̰,ccb0
̱,ccb1
̲,ccb2
̳,ccb3
̴,ccb4
̵,ccb5
̶,ccb6
̷,ccb7
̸,ccb8
̹,ccb9
̺,ccba
̻,ccbb
̼,ccbc
̽,ccbd
̾,ccbe
̿,ccbf
̀,cd80
́,cd81
͂,cd82
̓,cd83
̈́,cd84
ͅ,cd85
͆,cd86
͇,cd87
͈,cd88
͉,cd89
͊,cd8a
͋,cd8b
͌,cd8c
͍,cd8d
͎,cd8e
͏,cd8f
͐,cd90
͑,cd91
͒,cd92
͓,cd93
͔,cd94
͕,cd95
͖,cd96
͗,cd97
͘,cd98
͙,cd99
͚,cd9a
͛,cd9b
͜,cd9c
͝,cd9d
͞,cd9e
͟,cd9f
͠,cda0
͡,cda1
͢,cda2
ͣ,cda3
ͤ,cda4
ͥ,cda5
ͦ,cda6
ͧ,cda7
ͨ,cda8
ͩ,cda9
ͪ,cdaa
ͫ,cdab
ͬ,cdac
ͭ,cdad
ͮ,cdae
ͯ,cdaf
Ͱ,cdb0
ͱ,cdb1
Ͳ,cdb2
ͳ,cdb3
ʹ,cdb4
͵,cdb5
Ͷ,cdb6
ͷ,cdb7
ͺ,cdba
ͻ,cdbb
ͼ,cdbc
ͽ,cdbd
;,cdbe
Ϳ,cdbf
΄,ce84
΅,ce85
Ά,ce86
·,ce87
Έ,ce88
Ή,ce89
Ί,ce8a
Ό,ce8c
Ύ,ce8e
Ώ,ce8f
ΐ,ce90
Α,ce91
Β,ce92
Γ,ce93
Δ,ce94
Ε,ce95
Ζ,ce96
Η,ce97
Θ,ce98
Ι,ce99
Κ,ce9a
Λ,ce9b
Μ,ce9c
Ν,ce9d
Ξ,ce9e
Ο,ce9f
Π,cea0
Ρ,cea1
Σ,cea3
Τ,cea4
Υ,cea5
Φ,cea6
Χ,cea7
Ψ,cea8
Ω,cea9
Ϊ,ceaa
Ϋ,ceab
ά,ceac
έ,cead
ή,ceae
ί,ceaf
ΰ,ceb0
α,ceb1
β,ceb2
γ,ceb3
δ,ceb4
ε,ceb5
ζ,ceb6
η,ceb7
θ,ceb8
ι,ceb9
κ,ceba
λ,cebb
μ,cebc
ν,cebd
ξ,cebe
ο,cebf
π,cf80
ρ,cf81
ς,cf82
σ,cf83
τ,cf84
υ,cf85
φ,cf86
χ,cf87
ψ,cf88
ω,cf89
ϊ,cf8a
ϋ,cf8b
ό,cf8c
ύ,cf8d
ώ,cf8e
Ϗ,cf8f
ϐ,cf90
ϑ,cf91
ϒ,cf92
ϓ,cf93
ϔ,cf94
ϕ,cf95
ϖ,cf96
ϗ,cf97
Ϙ,cf98
ϙ,cf99
Ϛ,cf9a
ϛ,cf9b
Ϝ,cf9c
ϝ,cf9d
Ϟ,cf9e
ϟ,cf9f
Ϡ,cfa0
ϡ,cfa1
Ϣ,cfa2
ϣ,cfa3
Ϥ,cfa4
ϥ,cfa5
Ϧ,cfa6
ϧ,cfa7
Ϩ,cfa8
ϩ,cfa9
Ϫ,cfaa
ϫ,cfab
Ϭ,cfac
ϭ,cfad
Ϯ,cfae
ϯ,cfaf
ϰ,cfb0
ϱ,cfb1
ϲ,cfb2
ϳ,cfb3
ϴ,cfb4
ϵ,cfb5
϶,cfb6
Ϸ,cfb7
ϸ,cfb8
Ϲ,cfb9
Ϻ,cfba
ϻ,cfbb
ϼ,cfbc
Ͻ,cfbd
Ͼ,cfbe
Ͽ,cfbf
Ѐ,d080
Ё,d081
Ђ,d082
Ѓ,d083
Є,d084
Ѕ,d085
І,d086
Ї,d087
Ј,d088
